residual_sugar,chlorides,total_sulfur_dioxide,density,pH,sulphates,alcohol,rating,wine_color
1.9,0.1,77.0,0.9966,3.27,0.64,9.3,5,red
6.7,0.097,19.0,0.9986,3.27,0.82,11.7,7,red
2.7,0.087,122.0,0.9982,3.26,0.61,9.5,5,red
6.6,0.117,134.0,1.0014,3.32,1.07,9.3,5,red
2.2,0.111,20.0,0.997,3.26,0.66,11.7,6,red
1.9,0.091,124.0,0.9956,3.44,0.48,10.5,5,red
2.0,0.121,20.0,0.9996,3.24,0.76,10.4,6,red
1.8,0.066,52.0,0.9976,3.62,0.68,9.9,5,red
2.4,0.08900000000000001,67.0,0.9972,3.28,0.73,11.8,7,red
2.3,0.059,48.0,0.9952,3.52,0.56,12.3,7,red
2.0,0.047,60.0,0.9955,3.36,0.44,10.9,5,red
2.1,0.066,24.0,0.9978,3.15,0.9,11.0,7,red
2.0,0.047,60.0,0.9955,3.36,0.44,10.9,5,red
2.3,0.059,48.0,0.9952,3.52,0.56,12.3,7,red
2.1,0.045,48.0,0.9949,3.49,0.49,11.4,6,red
1.9,0.077,32.0,0.9988,3.26,0.56,10.6,6,red
1.3,0.07,30.0,0.9978,3.24,0.6,9.3,5,red
2.4,0.08800000000000001,35.0,0.9997,3.1,0.6,10.4,6,red
2.1,0.066,24.0,0.9978,3.15,0.9,11.0,7,red
2.2,0.07400000000000001,66.0,0.9974,3.25,0.56,9.2,5,red
2.3,0.078,24.0,0.9958,3.0,0.65,12.8,6,red
2.3,0.091,18.0,1.0004,3.16,0.49,9.5,5,red
3.2,0.076,54.0,0.9996,3.15,0.89,9.9,6,red
2.3,0.091,18.0,1.0004,3.16,0.49,9.5,5,red
2.0,0.06,62.0,0.9958,3.26,0.56,10.2,6,red
3.2,0.066,22.0,0.9986,3.17,0.66,11.2,6,red
3.2,0.076,54.0,0.9996,3.15,0.89,9.9,6,red
1.5,0.062,50.0,0.9951,3.08,0.6,9.3,5,red
2.2,0.07200000000000001,29.0,0.9987,2.88,0.82,9.8,8,red
2.15,0.068,27.0,0.9988,3.06,0.68,11.3,6,red
3.7,0.1,43.0,1.0032,2.95,0.68,11.2,7,red
2.7,0.077,19.0,0.9963,3.23,0.63,11.6,7,red
1.7,0.054000000000000006,27.0,0.9934,3.57,0.84,12.5,7,red
2.1,0.079,31.0,0.9986,3.23,0.56,10.1,6,red
2.6,0.081,72.0,0.9996,3.1,0.73,10.5,5,red
2.1,0.127,16.0,0.9968,3.22,0.72,11.2,5,red
2.0,0.1,27.0,0.9967,3.2,0.56,10.2,6,red
2.8,0.095,35.0,0.9994,3.1,0.61,10.8,6,red
2.8,0.095,35.0,0.9994,3.1,0.61,10.8,6,red
1.8,0.413,26.0,0.9979,3.06,1.06,9.1,6,red
1.7,0.084,35.0,0.9968,3.44,0.63,10.0,6,red
2.8,0.084,22.0,0.9998,3.26,0.74,11.2,7,red
1.6,0.063,67.0,0.9952,3.5,0.63,11.1,5,red
5.2,0.086,19.0,0.9988,3.22,0.69,13.4,8,red
2.3,0.095,22.0,0.9986,3.37,0.58,10.3,5,red
2.7,0.097,65.0,0.9988,3.28,0.58,9.6,5,red
2.8,0.084,22.0,0.9998,3.26,0.74,11.2,7,red
2.2,0.07400000000000001,47.0,1.0008,3.25,0.57,9.0,3,red
2.3,0.083,23.0,0.9976,3.35,0.61,11.3,6,red
2.6,0.087,19.0,0.9982,3.26,0.61,9.3,5,red
2.55,0.085,25.0,0.997,3.18,0.61,11.8,5,red
2.2,0.098,129.0,0.9972,3.08,0.53,9.0,5,red
2.1,0.084,15.0,0.9987,2.98,0.7,9.2,6,red
2.9,0.098,26.0,1.0006,3.48,0.91,9.7,5,red
2.0,0.069,51.0,0.9982,3.16,0.72,11.5,6,red
2.6,0.065,18.0,0.9947,3.32,0.79,14.0,6,red
2.1,0.09,21.0,1.0,3.17,0.62,9.2,6,red
1.2,0.07,48.0,0.9952,3.2,0.58,9.8,5,red
2.6,0.093,47.0,0.9996,3.05,0.61,10.6,5,red
2.4,0.081,52.0,0.997,3.2,0.71,11.4,6,red
2.6,0.083,68.0,0.9995,3.15,0.82,10.4,6,red
2.1,0.062,14.0,0.9971,3.26,0.79,10.6,5,red
1.7,0.08,24.0,0.9982,3.2,0.89,9.4,6,red
2.2,0.087,28.0,0.9988,3.14,0.6,10.2,5,red
2.0,0.091,16.0,0.998,3.28,0.7,9.7,5,red
1.8,0.075,20.0,0.9977,3.18,1.06,11.0,6,red
2.2,0.087,28.0,0.9988,3.14,0.6,10.2,5,red
2.7,0.077,31.0,0.9984,3.19,0.7,10.1,6,red
15.5,0.069,23.0,1.0026,3.12,0.66,9.2,5,red
2.8,0.08,17.0,0.9964,3.15,0.92,11.7,8,red
2.2,0.152,18.0,0.9986,3.04,1.05,9.4,5,red
2.2,0.152,18.0,0.9986,3.04,1.06,9.4,5,red
4.1,0.114,24.0,0.997,3.06,0.66,13.4,6,red
1.9,0.054000000000000006,17.0,0.9976,3.17,0.47,10.0,5,red
1.9,0.054000000000000006,17.0,0.9976,3.17,0.47,10.0,5,red
1.8,0.053,14.0,0.9982,3.17,0.42,10.0,6,red
2.8,0.081,67.0,1.0002,3.32,0.92,10.8,7,red
2.6,0.073,26.0,0.9984,3.34,0.75,10.2,6,red
2.8,0.078,56.0,0.9984,3.31,0.67,10.6,6,red
2.5,0.055,25.0,0.9952,3.34,0.79,13.3,7,red
2.6,0.052000000000000005,27.0,0.995,3.32,0.9,13.4,7,red
3.0,0.086,81.0,1.0002,3.48,0.74,11.6,6,red
8.3,0.051,91.0,0.9952,3.44,0.55,12.1,6,red
2.6,0.07,16.0,0.9972,3.15,0.65,11.0,8,red
1.9,0.081,38.0,0.9984,3.43,0.65,9.0,6,red
2.5,0.09,113.0,0.9966,3.32,0.79,11.1,5,red
2.6,0.07,16.0,0.9972,3.15,0.65,11.0,8,red
3.0,0.086,81.0,1.0002,3.48,0.74,11.6,6,red
1.9,0.081,38.0,0.9984,3.43,0.65,9.0,6,red
6.55,0.07400000000000001,76.0,0.999,3.17,0.85,12.0,7,red
6.55,0.07400000000000001,76.0,0.999,3.17,0.85,12.0,7,red
1.9,0.078,24.0,0.9976,3.18,1.04,10.9,7,red
1.8,0.077,22.0,0.9976,3.21,1.05,10.8,7,red
2.9,0.07200000000000001,26.0,0.9968,3.16,0.78,12.5,7,red
1.8,0.075,21.0,0.9976,3.25,1.02,10.8,7,red
2.3,0.084,13.0,1.0,3.17,0.71,9.5,6,red
2.2,0.09,62.0,0.9994,3.18,0.63,10.2,6,red
2.8,0.084,43.0,0.9986,3.04,0.68,11.4,7,red
4.6,0.073,43.0,0.9978,3.02,0.61,9.5,5,red
2.2,0.09,62.0,0.9994,3.18,0.63,10.2,6,red
2.1,0.125,49.0,0.998,3.03,0.81,9.7,6,red
2.4,0.107,15.0,0.9973,3.09,0.66,11.8,7,red
2.4,0.107,15.0,0.9973,3.09,0.66,11.8,7,red
6.1,0.122,151.0,1.001,3.31,1.14,9.3,5,red
4.3,0.1,14.0,1.001,3.25,0.74,11.9,6,red
2.1,0.2,16.0,0.9994,3.16,0.63,8.4,3,red
2.8,0.08800000000000001,32.0,0.9972,3.22,0.68,11.7,6,red
2.5,0.08800000000000001,106.0,0.9966,3.36,0.78,11.0,5,red
2.7,0.08800000000000001,33.0,0.9982,3.42,0.9,10.0,6,red
2.0,0.08800000000000001,43.0,0.998,3.48,0.64,9.1,5,red
2.3,0.099,133.0,0.9979,3.38,0.99,9.8,5,red
2.5,0.085,142.0,0.9978,3.22,0.55,9.4,5,red
2.4,0.086,116.0,0.9976,3.23,0.64,9.5,5,red
2.8,0.105,53.0,0.9998,3.24,0.67,9.9,5,red
2.5,0.08800000000000001,106.0,0.9966,3.36,0.78,11.0,5,red
2.5,0.097,85.0,0.9962,3.39,0.77,11.4,6,red
2.6,0.084,55.0,0.9988,3.34,0.75,8.7,6,red
2.4,0.077,33.0,0.9974,3.09,0.57,9.4,5,red
2.1,0.078,28.0,0.999,3.41,0.87,10.3,6,red
2.7,0.098,42.0,1.0004,3.16,0.61,10.3,5,red
2.7,0.098,42.0,1.0004,3.16,0.61,10.3,5,red
2.1,0.07200000000000001,33.0,0.9956,3.22,0.66,12.8,6,red
2.7,0.102,32.0,1.0,3.28,0.56,10.0,6,red
2.1,0.078,28.0,0.999,3.41,0.87,10.3,6,red
2.4,0.077,33.0,0.9974,3.09,0.57,9.4,5,red
2.1,0.084,13.0,0.9972,3.37,0.77,10.7,6,red
5.8,0.066,35.0,1.0014,3.2,0.66,12.0,7,red
5.15,0.1,17.0,0.9996,3.22,0.62,11.2,5,red
3.3,0.101,47.0,0.9988,3.26,0.67,9.6,5,red
6.3,0.064,17.0,0.9988,3.21,0.73,11.0,6,red
2.1,0.07,20.0,0.9966,3.12,0.59,9.9,5,red
2.5,0.085,53.0,0.9993,3.06,0.72,11.0,6,red
1.8,0.075,15.0,1.0008,2.86,0.79,8.4,6,red
2.6,0.094,106.0,0.9982,3.08,0.59,9.1,5,red
2.0,0.078,28.0,0.9983,3.45,0.78,9.5,6,red
2.5,0.067,21.0,0.9987,3.26,0.86,10.7,6,red
2.6,0.079,69.0,0.9994,3.12,0.75,10.4,6,red
1.9,0.171,25.0,0.9975,3.27,0.61,9.4,6,red
2.1,0.07400000000000001,25.0,0.9958,3.33,0.56,9.5,6,red
2.8,0.092,45.0,0.998,3.19,0.73,10.0,6,red
2.7,0.092,44.0,0.998,3.12,0.74,10.0,6,red
1.6,0.05,96.0,0.9934,3.74,0.62,11.5,5,red
4.2,0.095,23.0,1.00315,2.92,0.74,11.1,5,red
4.2,0.095,23.0,1.00315,2.92,0.74,11.1,5,red
4.6,0.118,17.0,1.0002,3.07,0.56,11.7,6,red
4.2,0.095,23.0,1.00315,2.92,0.74,11.1,5,red
4.6,0.118,17.0,1.0002,3.07,0.56,11.7,6,red
4.3,0.085,47.0,1.0021,3.3,0.68,12.7,6,red
2.8,0.075,19.0,0.9994,3.14,0.57,11.4,5,red
2.4,0.078,121.0,0.9978,3.23,0.58,9.2,5,red
2.9,0.094,110.0,0.9982,3.08,0.61,9.2,5,red
2.7,0.092,60.0,0.9971,3.31,0.61,10.1,6,red
4.3,0.085,47.0,1.0021,3.3,0.68,12.7,6,red
2.8,0.075,19.0,0.9994,3.14,0.57,11.4,5,red
2.5,0.226,15.0,0.9991,3.32,0.6,9.0,6,red
2.5,0.226,15.0,0.9991,3.32,0.6,9.0,6,red
2.6,0.25,20.0,0.999,3.31,0.79,10.7,6,red
2.2,0.095,42.0,0.9946,3.57,0.57,11.7,6,red
3.3,0.07,37.0,1.0003,3.32,0.91,11.0,6,red
2.2,0.095,42.0,0.9946,3.57,0.57,11.7,6,red
2.4,0.075,28.0,0.9978,3.14,0.61,10.4,5,red
2.1,0.07,47.0,0.9991,3.3,0.56,9.6,4,red
3.2,0.078,78.0,0.9992,3.19,0.7,10.0,6,red
3.1,0.079,46.0,0.9993,3.2,0.8,10.2,6,red
2.3,0.103,14.0,0.9978,3.34,0.52,10.0,4,red
2.8,0.083,111.0,0.9982,3.3,0.6,9.5,5,red
2.9,0.085,110.0,0.9982,3.29,0.6,9.8,5,red
2.2,0.063,40.0,0.9976,3.14,0.51,9.8,6,red
2.2,0.08900000000000001,14.0,1.0002,3.19,0.44,9.6,5,red
2.2,0.08900000000000001,14.0,1.0002,3.19,0.44,9.6,5,red
2.2,0.083,15.0,1.0,3.19,0.43,9.2,5,red
1.9,0.07400000000000001,21.0,0.9976,2.98,0.66,9.9,7,red
3.4,0.093,80.0,1.0002,3.3,0.76,10.7,7,red
2.4,0.091,38.0,0.998,3.47,0.66,9.6,6,red
2.7,0.094,47.0,0.9986,3.12,1.02,10.6,7,red
1.9,0.108,102.0,0.9967,3.26,0.59,9.3,5,red
2.0,0.06,50.0,0.9917,3.72,0.74,14.0,8,red
2.6,0.059,13.0,0.9976,3.05,0.74,10.5,7,red
2.6,0.084,75.0,0.9987,3.35,0.57,9.7,5,red
1.7,0.07,149.0,0.9922,3.12,0.5,11.5,6,red
2.6,0.084,75.0,0.9987,3.35,0.57,9.7,5,red
3.5,0.094,43.0,1.0004,3.29,0.58,9.0,5,red
2.6,0.096,38.0,0.9978,3.4,0.53,9.5,5,red
7.9,0.086,109.0,0.9998,3.27,0.57,9.3,5,red
2.0,0.059,24.0,0.9994,3.04,0.6,9.3,6,red
1.9,0.071,18.0,0.998,3.09,0.63,10.0,6,red
2.1,0.078,30.0,0.9967,3.2,0.48,9.8,6,red
2.3,0.08199999999999999,22.0,1.0,3.0,0.7,9.3,6,red
2.1,0.08800000000000001,23.0,0.9962,3.26,0.47,10.0,4,red
2.2,0.071,35.0,1.0006,3.1,0.56,9.0,6,red
2.6,0.081,14.0,0.9975,3.3,0.52,9.3,5,red
2.2,0.071,35.0,1.0006,3.1,0.56,9.0,6,red
2.9,0.096,63.0,0.9984,3.17,0.62,9.1,6,red
2.6,0.085,24.0,0.9984,3.31,0.59,9.2,6,red
4.6,0.07200000000000001,20.0,0.9973,3.34,0.79,12.2,7,red
3.3,0.092,52.0,0.9982,3.31,0.53,10.5,6,red
5.1,0.11,65.0,1.0026,3.32,0.64,10.4,6,red
3.2,0.075,39.0,0.9956,3.56,0.52,12.7,6,red
2.5,0.083,57.0,0.9983,3.39,0.54,9.2,5,red
2.7,0.081,16.0,1.0006,2.98,0.54,9.4,5,red
2.4,0.077,29.0,0.9965,3.32,0.6,10.0,6,red
1.5,0.058,29.0,0.9962,3.26,0.74,9.8,5,red
2.2,0.14800000000000002,103.0,0.9969,2.87,1.36,10.2,6,red
2.3,0.079,71.0,0.9997,3.5,0.57,9.7,5,red
2.3,0.079,71.0,0.9997,3.5,0.57,9.7,5,red
2.2,0.079,28.0,0.9982,3.03,0.93,9.8,6,red
2.7,0.122,17.0,1.0006,3.13,0.7,10.2,5,red
2.3,0.08800000000000001,16.0,0.9988,3.09,0.8,9.3,5,red
3.4,0.076,112.0,0.9976,3.27,0.61,9.4,5,red
3.4,0.078,104.0,0.9976,3.28,0.62,9.4,5,red
1.9,0.08,32.0,0.9974,3.13,0.55,9.5,5,red
2.9,0.077,45.0,0.9974,3.49,0.96,12.1,6,red
5.6,0.124,58.0,0.9997,3.46,0.72,10.2,5,red
5.6,0.124,58.0,0.9997,3.46,0.72,10.2,5,red
2.2,0.098,15.0,0.9988,3.36,0.49,9.1,5,red
2.2,0.098,15.0,0.9988,3.36,0.49,9.1,5,red
2.5,0.097,31.0,0.9976,3.27,0.6,9.3,6,red
2.3,0.111,84.0,0.9964,3.21,0.61,9.3,5,red
2.5,0.097,31.0,0.9976,3.27,0.6,9.3,6,red
2.7,0.105,19.0,0.9988,3.25,0.63,9.5,5,red
3.0,0.087,43.0,0.9964,3.32,0.57,10.5,6,red
3.4,0.105,86.0,1.001,3.43,0.64,11.3,4,red
1.9,0.073,102.0,0.9964,3.27,0.58,9.5,5,red
1.4,0.065,33.0,0.9954,3.27,0.55,9.7,5,red
2.4,0.086,147.0,0.9979,3.24,0.53,9.4,5,red
2.3,0.084,145.0,0.9978,3.24,0.53,9.4,5,red
2.2,0.14300000000000002,23.0,0.9964,3.35,0.65,10.2,7,red
1.9,0.067,57.0,0.997,3.18,1.36,10.3,6,red
2.3,0.071,40.0,0.9991,3.39,0.62,9.4,5,red
2.3,0.071,68.0,0.9992,3.46,0.63,9.5,5,red
2.3,0.071,40.0,0.9991,3.39,0.62,9.4,5,red
2.3,0.071,68.0,0.9992,3.46,0.63,9.5,5,red
2.3,0.071,40.0,0.9991,3.39,0.62,9.4,5,red
6.0,0.115,11.0,0.9984,3.37,0.69,10.1,7,red
3.6,0.107,20.0,0.9972,3.4,0.63,10.1,5,red
2.2,0.07,14.0,0.9967,3.32,0.58,11.0,4,red
2.8,0.066,28.0,0.9964,3.33,0.67,11.2,7,red
8.6,0.068,148.0,0.9948,3.16,0.57,11.3,6,red
2.2,0.106,32.0,0.9986,2.89,0.5,9.6,5,red
2.5,0.104,155.0,1.001,3.41,0.67,11.2,5,red
7.5,0.096,71.0,0.9976,2.98,0.84,14.9,5,red
2.8,0.079,30.0,0.9976,3.12,0.54,12.0,6,red
2.4,0.07400000000000001,29.0,0.9979,3.08,0.46,9.5,5,red
2.9,0.087,53.0,1.0004,3.14,0.61,9.4,5,red
2.2,0.106,32.0,0.9986,2.89,0.5,9.6,5,red
1.4,0.073,42.0,0.998,2.92,0.68,10.5,7,red
1.4,0.07400000000000001,20.0,0.9973,3.32,0.81,9.6,6,red
4.4,0.096,13.0,0.997,3.41,0.57,11.0,4,red
1.4,0.07400000000000001,20.0,0.9973,3.32,0.81,9.6,6,red
1.6,0.08,42.0,0.9978,3.31,0.64,9.0,5,red
1.6,0.076,27.0,0.9972,3.36,0.7,9.6,6,red
1.8,0.05,13.0,0.9974,3.04,0.79,10.2,6,red
2.0,0.092,54.0,1.0,3.03,0.66,10.2,5,red
2.0,0.084,48.0,0.9981,3.14,0.56,9.7,5,red
1.8,0.222,16.0,0.998,3.18,0.6,9.5,6,red
2.0,0.08199999999999999,15.0,0.9988,2.94,0.66,9.2,6,red
2.3,0.059,31.0,0.9966,3.15,0.57,11.0,5,red
2.0,0.08199999999999999,15.0,0.9988,2.94,0.66,9.2,6,red
2.5,0.083,45.0,0.9959,3.26,0.58,10.0,5,red
1.7,0.07400000000000001,13.0,0.9968,3.2,0.52,9.5,5,red
2.0,0.079,151.0,0.998,3.15,0.53,9.5,5,red
1.7,0.07400000000000001,13.0,0.9968,3.2,0.52,9.5,5,red
2.2,0.084,17.0,0.9984,3.08,0.67,9.3,6,red
2.2,0.064,31.0,0.9984,3.26,0.65,10.2,5,red
2.2,0.084,17.0,0.9984,3.08,0.67,9.3,6,red
2.3,0.084,31.0,0.9979,3.4,0.48,9.9,5,red
2.6,0.081,87.0,0.9983,3.48,0.53,10.0,5,red
3.3,0.06,49.0,0.9972,3.13,0.54,9.6,5,red
1.9,0.07,40.0,1.0004,3.06,0.49,9.0,5,red
2.2,0.094,29.0,0.9962,3.21,0.49,10.2,6,red
2.25,0.078,58.0,0.998,3.33,0.54,9.8,5,red
2.6,0.059,15.0,0.997,3.37,0.56,11.3,5,red
2.3,0.078,152.0,0.998,3.25,0.48,9.4,5,red
2.6,0.059,15.0,0.997,3.37,0.56,11.3,5,red
1.8,0.07,40.0,0.997,3.44,0.6,9.1,5,red
3.1,0.095,38.0,0.9998,3.28,0.59,9.7,5,red
1.6,0.039,9.0,0.9962,3.4,0.47,9.4,5,red
1.8,0.157,17.0,0.9976,3.3,1.05,9.4,5,red
4.25,0.097,14.0,0.9966,3.63,0.54,10.7,3,red
2.6,0.087,93.0,0.9998,3.48,0.54,9.8,5,red
2.0,0.422,62.0,0.9979,3.03,1.17,9.0,5,red
2.8,0.084,122.0,0.9984,3.32,0.62,9.4,5,red
2.7,0.084,125.0,0.9984,3.31,0.61,9.4,5,red
1.3,0.034,44.0,0.9921,3.9,0.62,12.8,6,red
2.1,0.066,25.0,0.9972,3.47,0.67,9.5,6,red
2.1,0.066,25.0,0.9972,3.47,0.67,9.5,6,red
3.2,0.087,72.0,1.0001,3.31,0.53,9.7,5,red
2.1,0.071,19.0,0.9986,3.11,0.62,10.8,6,red
2.9,0.076,88.0,0.9984,3.08,0.57,10.1,6,red
2.1,0.066,25.0,0.9972,3.47,0.67,9.5,6,red
2.1,0.067,23.0,0.997,3.47,0.67,9.4,6,red
2.6,0.073,84.0,0.9972,3.32,0.7,9.6,4,red
1.6,0.078,14.0,0.998,3.29,0.54,9.7,4,red
6.0,0.073,54.0,0.999,3.37,0.49,9.9,5,red
2.0,0.093,19.0,0.9956,3.4,0.47,10.0,5,red
3.0,0.077,37.0,0.9966,3.37,0.51,10.5,5,red
2.5,0.068,35.0,0.996,3.34,0.61,11.6,6,red
1.6,0.062,33.0,0.9983,3.27,0.66,10.0,6,red
2.8,0.08,84.0,0.9985,3.06,0.57,10.1,5,red
3.0,0.093,112.0,0.9998,3.38,0.61,9.5,5,red
3.2,0.084,33.0,0.9992,3.36,0.45,9.4,5,red
2.3,0.075,48.0,0.9976,3.34,0.46,9.4,5,red
2.6,0.078,77.0,0.998,3.28,0.51,9.8,5,red
2.7,0.069,34.0,0.9967,3.29,0.48,9.2,6,red
2.3,0.075,48.0,0.9976,3.34,0.46,9.4,5,red
2.6,0.079,49.0,0.9968,3.21,0.57,10.0,5,red
2.0,0.08199999999999999,22.0,0.9976,3.22,0.44,9.6,5,red
3.9,0.086,45.0,0.9976,3.46,0.54,9.5,5,red
2.0,0.08199999999999999,22.0,0.9976,3.22,0.44,9.6,5,red
2.85,0.094,106.0,0.9982,3.1,0.53,9.2,5,red
2.7,0.084,48.0,0.9968,3.21,0.59,10.0,5,red
2.2,0.053,127.0,0.9965,2.94,1.62,9.5,5,red
3.1,0.086,12.0,0.9958,3.54,0.6,11.2,4,red
3.0,0.077,13.0,0.9976,3.29,0.55,10.4,5,red
2.8,0.084,49.0,0.9994,3.43,0.72,11.1,6,red
1.8,0.067,11.0,0.997,3.46,0.68,9.5,5,red
1.8,0.067,11.0,0.997,3.46,0.68,9.5,5,red
3.2,0.071,58.0,0.995,3.61,0.49,12.7,6,red
2.3,0.387,37.0,0.9982,3.17,0.67,9.6,5,red
3.45,0.08800000000000001,14.0,0.9994,3.44,0.52,11.5,5,red
2.1,0.092,19.0,0.9966,3.39,0.47,9.6,5,red
2.7,0.08199999999999999,72.0,0.998,3.55,0.6,9.5,5,red
2.0,0.075,39.0,0.9987,3.48,0.62,9.3,5,red
2.1,0.112,22.0,0.9963,3.26,0.5,9.5,5,red
2.1,0.112,22.0,0.9963,3.26,0.5,9.5,5,red
2.5,0.093,58.0,1.0002,3.5,0.65,9.3,6,red
2.8,0.092,104.0,0.9983,3.1,0.56,9.2,5,red
2.4,0.08800000000000001,38.0,0.999,3.35,0.6,9.3,5,red
4.2,0.075,16.0,0.9965,3.45,0.68,11.5,6,red
2.6,0.078,139.0,0.99788,3.21,0.57,9.5,5,red
1.9,0.065,18.0,0.9972,3.46,0.65,9.2,5,red
2.8,0.096,101.0,1.00024,3.13,0.53,10.0,5,red
2.7,0.095,101.0,1.0001,3.13,0.51,9.5,5,red
2.1,0.07,28.0,0.99768,3.52,0.73,9.5,6,red
2.5,0.08,57.0,0.9978,3.3,0.47,9.0,6,red
2.6,0.083,68.0,0.99782,3.3,0.48,9.4,5,red
2.1,0.071,31.0,0.99761,3.52,0.72,9.6,6,red
2.1,0.07,28.0,0.99768,3.52,0.73,9.5,6,red
2.9,0.08900000000000001,40.0,0.99803,3.29,0.55,9.5,5,red
2.9,0.08900000000000001,40.0,0.99803,3.29,0.55,9.5,5,red
2.5,0.097,66.0,0.99785,3.39,0.61,9.4,5,red
2.9,0.08900000000000001,40.0,0.99803,3.29,0.55,9.5,5,red
1.7,0.415,32.0,0.99656,3.09,1.06,9.1,6,red
1.9,0.058,47.0,0.99525,3.51,0.43,10.7,6,red
2.0,0.057,33.0,0.99488,3.6,0.46,11.2,6,red
2.2,0.084,31.0,0.99656,3.25,0.5,9.8,5,red
2.2,0.084,31.0,0.99656,3.25,0.5,9.8,5,red
2.5,0.092,88.0,0.99823,3.19,0.52,9.2,5,red
2.8,0.075,104.0,0.99779,3.23,0.57,9.7,5,red
2.0,0.096,35.0,0.99738,3.25,0.42,9.6,5,red
1.7,0.069,19.0,0.99701,3.31,0.53,10.0,6,red
2.0,0.096,35.0,0.99738,3.25,0.42,9.6,5,red
2.8,0.093,44.0,0.99888,3.31,0.55,9.5,6,red
3.0,0.091,48.0,0.99888,3.31,0.54,9.5,6,red
2.9,0.08900000000000001,74.0,0.99738,3.14,0.54,9.4,5,red
2.7,0.103,98.0,0.99938,3.45,0.62,9.5,5,red
2.3,0.08199999999999999,94.0,0.99744,3.55,0.53,9.7,6,red
1.9,0.076,32.0,0.99668,3.39,0.54,9.6,5,red
2.3,0.08199999999999999,94.0,0.99744,3.55,0.53,9.7,6,red
2.4,0.08199999999999999,143.0,0.9978,3.28,0.55,9.4,5,red
2.3,0.08199999999999999,144.0,0.99782,3.27,0.55,9.4,5,red
1.8,0.157,44.0,0.9973,3.3,0.92,9.5,6,red
1.8,0.157,45.0,0.99727,3.31,0.91,9.5,6,red
3.0,0.102,16.0,0.99586,3.43,0.46,10.0,5,red
2.4,0.243,48.0,0.99612,3.4,0.6,10.3,6,red
2.4,0.241,18.0,0.9961,3.4,0.59,10.3,6,red
3.4,0.079,34.0,0.99788,3.36,0.61,10.5,5,red
2.6,0.076,92.0,0.99745,3.5,0.6,9.8,5,red
2.0,0.19,45.0,0.99676,3.31,0.6,9.4,6,red
2.4,0.114,37.0,0.99732,3.66,0.65,9.8,5,red
2.4,0.081,96.0,0.99814,3.36,0.53,10.0,5,red
2.4,0.114,37.0,0.99732,3.66,0.65,9.8,5,red
2.5,0.077,85.0,0.99746,3.55,0.59,9.8,5,red
2.3,0.083,61.0,0.9982,3.21,0.5,9.5,5,red
2.3,0.083,61.0,0.9982,3.21,0.5,9.5,5,red
2.2,0.079,58.0,0.9991,3.18,0.56,10.1,6,red
2.2,0.079,58.0,0.9991,3.18,0.56,10.1,6,red
2.9,0.099,119.0,0.998,3.09,0.52,9.3,5,red
2.6,0.08199999999999999,82.0,0.99708,3.33,0.68,9.7,6,red
2.9,0.084,130.0,0.99818,3.23,0.54,9.6,5,red
2.5,0.081,87.0,0.99745,3.48,0.6,9.7,6,red
2.6,0.055,13.0,0.99639,3.38,0.56,10.8,5,red
2.3,0.065,26.0,0.99531,3.17,0.53,12.5,6,red
2.6,0.132,60.0,0.99786,2.99,1.18,10.2,5,red
2.5,0.126,64.0,0.99746,3.1,0.74,9.6,5,red
1.6,0.038,42.0,0.99526,3.24,0.81,10.8,7,red
3.6,0.08199999999999999,14.0,0.9987,3.29,0.52,10.7,6,red
3.6,0.08199999999999999,14.0,0.9987,3.29,0.52,10.7,6,red
4.0,0.08199999999999999,108.0,0.99641,3.25,0.51,9.4,5,red
3.3,0.068,17.0,0.99735,3.23,0.44,10.0,5,red
1.7,0.044,86.0,0.99264,3.56,0.94,12.9,7,red
2.5,0.114,46.0,0.9971,3.24,0.66,9.6,6,red
2.7,0.084,18.0,0.99682,3.26,0.57,9.9,6,red
2.4,0.052000000000000005,10.0,0.99356,3.33,0.7,12.8,7,red
2.0,0.041,10.0,0.99386,3.27,0.71,12.5,7,red
2.4,0.052000000000000005,10.0,0.99356,3.33,0.7,12.8,7,red
1.9,0.165,12.0,0.99702,3.26,0.86,9.2,5,red
2.8,0.07,15.0,0.99693,3.22,0.55,10.3,6,red
2.6,0.068,14.0,0.99562,3.3,0.47,10.5,5,red
2.8,0.07200000000000001,24.0,1.00012,3.09,0.68,10.9,6,red
2.5,0.099,38.0,0.99818,3.24,0.71,10.8,5,red
2.1,0.102,7.0,0.99462,3.44,0.58,11.4,4,red
2.8,0.103,41.0,0.99939,3.21,0.76,11.3,6,red
2.5,0.099,38.0,0.99818,3.24,0.71,10.8,5,red
3.2,0.081,30.0,0.9984,3.23,0.58,10.5,6,red
1.6,0.084,27.0,0.99545,3.28,0.73,11.9,6,red
2.35,0.071,47.0,0.99632,3.29,0.45,9.4,5,red
3.2,0.097,59.0,0.99976,3.28,0.54,9.6,5,red
1.9,0.099,22.0,0.99606,3.34,0.6,9.7,5,red
2.1,0.048,42.0,0.99154,3.71,0.74,14.0,7,red
2.0,0.076,36.0,0.9973,3.61,0.64,9.8,5,red
2.0,0.076,36.0,0.9973,3.61,0.64,9.8,5,red
2.8,0.068,16.0,0.99682,3.24,0.53,10.3,5,red
2.8,0.076,37.0,0.99624,3.36,0.49,10.7,5,red
2.3,0.05,8.0,0.9951,3.4,0.64,11.0,7,red
